Ensembl_ID,GeneSymbol,Description,EntrezID,Biotype,Human_Ensembl_ID,Human_GeneSymbol,Human_Entrez_ID,Tibia_activity,Tibia_mean_FPKM,Femur_activity,Femur_mean_FPKM,Humerus_activity,Humerus_mean_FPKM,Active_tissue_number,InVitro_active_osteocytes,LaserCaptured_active_osteocytes,CollagenaseDigested_active_osteocytes,Female4_activity,Female4_mean_FPKM,Female10_activity,Female10_mean_FPKM,Female16_activity,Female16_mean_FPKM,Female26_activity,Female26_mean_FPKM,Male4_activity,Male4_mean_FPKM,Male10_activity,Male10_mean_FPKM,Male16_activity,Male16_mean_FPKM,Male26_activity,Male26_mean_FPKM,Skeletal_maturation_cluster,Skeletal_maturation_cluster_corr,Skeletal_maturation_cluster_corr_pval,Osteocyte_activity,Osteocyte_mean_FPKM,Osteocyte_marrow_activity,Osteocyte_marrow_mean_FPKM,LFC,LFC_CI_Upper,LFC_CI_Lower,Above_threshold,Ayturk_muscle,Ayturk_marrow,Ayturk_blood,Ayturk_contaminant,Osteocyte_transcriptome,Osteocyte_transcriptome_signature,Total_gene_universe,Osteocyte_Tau,Skeletal_GO_Term,Skeletal_MP_Term,Skeletal_annotation,IDGSW3_Day3_mean_CPM,IDGSW3_Day14_mean_CPM,IDGSW3_Day35_mean_CPM,IDGSW3_cluster,OBCD_phenotype
ENSMUSG00000028641,Lepre1,leprecan 1 [Source:MGI Symbol;Acc:MGI:1888921],56401,protein_coding,ENSG00000117385,P3H1,64175,8,30.78875,8,26.30125,8,25.86,12,TRUE,TRUE,TRUE,5,57.854,5,36.274,5,30.048,5,27.414,5,58.92,5,31.882,5,22.178,5,19.422,brown,0.9576132,3.87E-22,5,26.364,5,4.744,2.534778,2.904299,2.165256,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.519,"GO:0030278, GO:0060348",TRUE,TRUE,3388.33,3414.67,6094,Maturation,FALSE
ENSMUSG00000028111,Ctsk,cathepsin K [Source:MGI Symbol;Acc:MGI:107823],13038,protein_coding,ENSG00000143387,CTSK,1513,8,311.5987,8,335.8325,8,269.345,11,TRUE,TRUE,TRUE,5,825.398,5,523.46,5,603.78,5,622.3,5,706.814,5,341.244,5,259.52,5,281.582,magenta,0.9573343,4.37E-22,5,273.956,5,42.308,2.689243,3.127744,2.250743,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.742,"GO:0045453, GO:0001957",TRUE,TRUE,5276.67,12693.33,16061.67,Maturation,FALSE
ENSMUSG00000032997,Chpf,chondroitin polymerizing factor [Source:MGI Symbol;Acc:MGI:106576],74241,protein_coding,ENSG00000123989,CHPF,79586,8,14.32875,8,12.295,8,14.405,11,TRUE,FALSE,TRUE,5,26.052,5,20.63,5,16.838,5,13.218,5,26.224,5,19.512,5,12.862,5,15.484,black,0.957174,4.68E-22,5,16.854,5,2.4,2.770913,3.206307,2.335519,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.388,GO:0030206,TRUE,TRUE,1602.67,1938.67,1866.33,Maturation,FALSE
ENSMUSG00000026836,Acvr1,"activin A receptor, type 1 [Source:MGI Symbol;Acc:MGI:87911]",NA,protein_coding,ENSG00000115170,ACVR1,90,8,18.2425,8,15.34875,8,17.4825,12,TRUE,TRUE,TRUE,5,23.77,5,19.468,5,19.462,5,17.574,5,23.392,5,19.49,5,16.66,5,19.518,black,0.9551151,1.12E-21,5,18.492,5,3.982,2.32611,2.542079,2.110141,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.338,"GO:0030501, GO:0045669, GO:0030278",TRUE,TRUE,916,1342.33,581,Maturation,FALSE
ENSMUSG00000032431,Crtap,cartilage associated protein [Source:MGI Symbol;Acc:MGI:1891221],56693,protein_coding,ENSG00000170275,CRTAP,10491,8,97.335,8,95.72625,8,91.6725,12,TRUE,TRUE,TRUE,5,102.612,5,70.048,5,65.622,5,58.28,5,103.702,5,71.398,5,52.042,5,52.982,brown,0.9530997,2.54E-21,5,82.41,5,17.886,2.160138,2.531593,1.788683,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.333,NA,TRUE,TRUE,3103.33,3265.33,3774,Maturation,FALSE
ENSMUSG00000028597,Gpx7,glutathione peroxidase 7 [Source:MGI Symbol;Acc:MGI:1914555],67305,protein_coding,ENSG00000116157,GPX7,2882,8,9.545,8,8.82625,8,9.32875,12,TRUE,TRUE,TRUE,5,24.924,5,16.034,5,11.994,5,9.246,5,25.638,5,12.638,5,8.138,5,8.01,brown,0.9527263,2.94E-21,5,10.352,5,1.432,3.053394,3.769618,2.337169,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.444,NA,FALSE,FALSE,1249.67,1010,788.67,Maturation,FALSE
ENSMUSG00000025255,Zfhx4,zinc finger homeodomain 4 [Source:MGI Symbol;Acc:MGI:2137668],80892,protein_coding,ENSG00000091656,ZFHX4,79776,8,37.4875,8,27.27125,8,37.27625,8,TRUE,TRUE,TRUE,5,42.976,5,38.966,5,35.798,5,32.76,5,47.556,5,39.084,5,35.312,5,36.378,black,0.952375,3.38E-21,5,41.554,5,4.414,3.217772,3.472776,2.962768,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.926,NA,FALSE,FALSE,2658,4572.67,1207,Early expression,FALSE
ENSMUSG00000059921,Unc5c,unc-5 homolog C (C. elegans) [Source:MGI Symbol;Acc:MGI:1095412],22253,protein_coding,ENSG00000182168,UNC5C,8633,8,3.7175,8,3.8375,8,3.47375,7,TRUE,TRUE,TRUE,5,12.984,5,5.094,5,4.066,5,3.176,5,13.994,5,4.68,5,3.426,5,1.728,brown,0.9509591,5.82E-21,5,3.502,1,0.478,3.105644,3.897448,2.313839,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.514,NA,FALSE,FALSE,1342,1141,459.33,Early expression,FALSE
ENSMUSG00000025140,Pycr1,pyrroline-5-carboxylate reductase 1 [Source:MGI Symbol;Acc:MGI:2384795],NA,protein_coding,ENSG00000183010,PYCR1,5831,8,11.27625,8,10.91875,8,11.36625,8,TRUE,FALSE,TRUE,5,25.83,5,16.372,5,12.66,5,9.462,5,29.786,5,14.362,5,9.742,5,8.758,brown,0.9508496,6.07E-21,5,11.522,5,2.016,2.932238,3.656322,2.208153,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.903,NA,FALSE,FALSE,271,403.67,1138,Maturation,FALSE
ENSMUSG00000028226,Mmp16,matrix metallopeptidase 16 [Source:MGI Symbol;Acc:MGI:1276107],17389,protein_coding,ENSG00000156103,MMP16,4325,8,27.95625,8,26.93125,8,28.205,3,TRUE,TRUE,TRUE,5,40.796,5,26.818,5,25.31,5,20.864,5,43.588,5,22.794,5,23.548,5,13.562,brown,0.9508028,6.18E-21,5,26.416,5,2.19,3.547352,4.125492,2.969213,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.954,"GO:0001503, GO:0001958, GO:0035988, GO:0048701, GO:0060348, GO:0097094",TRUE,TRUE,2926.67,3552.67,1171.67,Early expression,FALSE
ENSMUSG00000020674,Pxdn,peroxidasin homolog (Drosophila) [Source:MGI Symbol;Acc:MGI:1916925],69675,protein_coding,ENSG00000130508,PXDN,7837,8,6.87875,8,5.7875,8,6.4125,12,TRUE,TRUE,TRUE,5,12.228,5,8.622,5,7.984,5,6.94,5,14.232,5,9.444,5,7.634,5,11.416,black,0.9503673,7.28E-21,5,6.788,4,1.052,2.580042,3.120607,2.039478,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.227,NA,FALSE,FALSE,2489,2335.67,419,Early expression,FALSE
ENSMUSG00000053931,Cnn3,"calponin 3, acidic [Source:MGI Symbol;Acc:MGI:1919244]",71994,protein_coding,ENSG00000117519,CNN3,1266,8,57.45875,8,45.04375,8,63.3575,12,TRUE,TRUE,TRUE,5,91.758,5,90.246,5,78.184,5,59.408,5,99.926,5,93.982,5,65.758,5,76.59,black,0.9503069,7.44E-21,5,73.704,5,18.048,1.956398,2.195916,1.716879,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.055,NA,FALSE,FALSE,31047.42,19926.69,7294.84,Early expression,FALSE
ENSMUSG00000001555,Fkbp10,FK506 binding protein 10 [Source:MGI Symbol;Acc:MGI:104769],14230,protein_coding,ENSG00000141756,FKBP10,60681,8,79.2125,8,74.31375,8,71.49,11,TRUE,TRUE,TRUE,5,145.134,5,91.99,5,79.118,5,69.37,5,150.728,5,80.824,5,63.506,5,50.144,brown,0.948127442,1.65E-20,5,82.47,5,7.902,3.354972294,3.714447548,2.99549704,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.65,NA,TRUE,TRUE,7222.33,6751,7659.67,Maturation,FALSE
ENSMUSG00000029161,Cgref1,cell growth regulator with EF hand domain 1 [Source:MGI Symbol;Acc:MGI:1915817],68567,protein_coding,ENSG00000138028,CGREF1,10669,8,43.52625,8,41.60125,8,37.28,7,TRUE,TRUE,TRUE,5,101.294,5,52.89,5,35.384,5,27.872,5,106.268,5,46.522,5,31.35,5,17.312,brown,0.9472619,2.24E-20,5,37.626,5,3.02,3.662485,4.802467,2.522504,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.669,NA,FALSE,FALSE,805.67,724.33,7865.33,Maturation,FALSE
ENSMUSG00000024598,Fbn2,fibrillin 2 [Source:MGI Symbol;Acc:MGI:95490],14119,protein_coding,ENSG00000138829,FBN2,2201,8,8.24875,8,6.6,8,6.02625,0,TRUE,FALSE,TRUE,5,15.442,5,10.074,5,6.922,5,7.746,5,15.218,5,6.53,5,4.358,5,2.438,brown,0.9467833,2.65E-20,5,6.434,1,0.492,3.710803,4.552569,2.869038,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,"GO:0030326, GO:0030501, GO:0035108, GO:0045669, GO:0060346",TRUE,TRUE,1472.67,1767,413,Early expression,FALSE
ENSMUSG00000023191,Leprel2,leprecan-like 2 [Source:MGI Symbol;Acc:MGI:1315208],14789,protein_coding,ENSG00000110811,P3H3,10536,8,25.24375,8,21.41875,8,23.5575,12,TRUE,TRUE,TRUE,5,39.744,5,32.28,5,30.676,5,23.182,5,40.744,5,32.546,5,24.642,5,26.814,black,0.9463837,3.05E-20,5,30.478,5,4.732,2.693489,2.986029,2.400948,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.469,NA,FALSE,FALSE,2038,3839,3978.33,Maturation,FALSE
ENSMUSG00000028919,Arhgef19,Rho guanine nucleotide exchange factor (GEF) 19 [Source:MGI Symbol;Acc:MGI:1925912],213649,protein_coding,ENSG00000142632,ARHGEF19,128272,8,6.9925,8,4.84,8,6.8525,10,TRUE,FALSE,FALSE,5,14.32,5,10.822,5,8.594,5,7.556,5,15.088,5,10.144,5,7.438,5,9.386,black,0.9460719,3.39E-20,5,8.48,2,0.628,3.956713,4.475321,3.438105,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.396,NA,FALSE,FALSE,60.67,138,144.67,Maturation,FALSE
ENSMUSG00000025151,Maged1,"melanoma antigen, family D, 1 [Source:MGI Symbol;Acc:MGI:1930187]",94275,protein_coding,ENSG00000179222,MAGED1,9500,8,97.3375,8,88.48375,8,85.8075,12,TRUE,TRUE,TRUE,5,126.858,5,102.112,5,96.24,5,89.498,5,128.57,5,84.892,5,68.292,5,62.104,brown,0.9450909,4.74E-20,5,81.756,5,13.248,2.629139,2.93762,2.320658,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.053,NA,FALSE,FALSE,17104,20199,13771.67,Maturation,FALSE
ENSMUSG00000036298,Slc2a13,"solute carrier family 2 (facilitated glucose transporter), member 13 [Source:MGI Symbol;Acc:MGI:2146030]",239606,protein_coding,ENSG00000151229,SLC2A13,114134,8,7.065,8,6.135,8,6.50625,7,TRUE,FALSE,TRUE,5,9.144,5,7.176,5,5.288,5,5.204,5,9.688,5,7.11,5,4.324,5,2.934,brown,0.9444653,5.84E-20,5,6.102,2,0.576,3.377117,4.104,2.650234,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.531,NA,FALSE,FALSE,18.33,34,273,Maturation,FALSE
ENSMUSG00000006931,Leprel4,leprecan-like 4 [Source:MGI Symbol;Acc:MGI:1913430],66180,protein_coding,ENSG00000141696,P3H4,10609,8,17.02625,8,14.95875,8,15.08375,11,TRUE,TRUE,TRUE,5,28.436,5,19.56,5,19.578,5,19.284,5,30.51,5,18.124,5,15.018,5,13.836,brown,0.9437119,7.50E-20,5,20.104,5,2.536,3.819454,4.384409,3.254499,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.439,NA,TRUE,TRUE,2280.67,2699.67,2478.33,Maturation,FALSE
ENSMUSG00000005973,Rcn1,reticulocalbin 1 [Source:MGI Symbol;Acc:MGI:104559],19672,protein_coding,ENSG00000285283,,NA,8,42.01125,8,39.7075,8,41.08,12,TRUE,TRUE,TRUE,5,71.254,5,54.208,5,39.118,5,33.884,5,74.186,5,45.524,5,32.428,5,27.134,brown,0.943323166,8.52E-20,5,35.108,5,8.652,1.998567424,2.329503946,1.667630901,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.414,NA,FALSE,FALSE,24342.33,24391,27750,Maturation,FALSE
ENSMUSG00000032584,Mst1r,macrophage stimulating 1 receptor (c-met-related tyrosine kinase) [Source:MGI Symbol;Acc:MGI:99614],19882,protein_coding,ENSG00000164078,MST1R,4486,8,14.91125,8,14.645,8,13.35875,6,TRUE,FALSE,TRUE,5,17.672,5,13.29,5,17.094,5,20.37,5,14.878,5,8.354,5,8.488,5,7.4,magenta,0.9424911,1.12E-19,5,14.9,5,2.86,2.673807,3.122754,2.22486,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.845,NA,FALSE,FALSE,21.33,81.67,20.67,Maturation,FALSE
ENSMUSG00000002732,Fkbp7,FK506 binding protein 7 [Source:MGI Symbol;Acc:MGI:1336879],14231,protein_coding,ENSG00000079150,FKBP7,51661,8,49.215,8,42.70375,8,43.85,12,TRUE,TRUE,TRUE,5,92.804,5,67.594,5,42.614,5,35.996,5,100.514,5,53.704,5,33.578,5,27.668,brown,0.942366203,1.16E-19,5,39.406,5,6.006,2.757714234,3.276617508,2.238810959,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.392,NA,FALSE,FALSE,3008.33,3942.67,6760,Maturation,FALSE
ENSMUSG00000050953,Gja1,"gap junction protein, alpha 1 [Source:MGI Symbol;Acc:MGI:95713]",14609,protein_coding,ENSG00000152661,GJA1,2697,8,330.37,8,243.0637,8,249.9137,12,TRUE,TRUE,TRUE,5,458.45,5,330.33,5,245.128,5,190.148,5,459.264,5,295.604,5,204.396,5,159.788,brown,0.9419182,1.34E-19,5,237.292,5,27.23,3.116629,3.431812,2.801445,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.258,"GO:0001649, GO:0030500, GO:0042733, GO:0045669, GO:0046850",TRUE,TRUE,7111.33,14075.33,10080.33,Maturation,FALSE
ENSMUSG00000019916,P4ha1,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide [Source:MGI Symbol;Acc:MGI:97463]",18451,protein_coding,ENSG00000122884,P4HA1,5033,8,42.28875,8,40.21625,8,42.8675,12,TRUE,TRUE,TRUE,5,63.822,5,43.16,5,41.264,5,36.746,5,73.08,5,40.528,5,32.71,5,33.208,brown,0.9410875,1.74E-19,5,42.6,5,10.4,2.102463,2.311143,1.893782,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.324,NA,TRUE,TRUE,4486,6298.67,17965.67,Maturation,FALSE
ENSMUSG00000030022,Adamts9,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9 [Source:MGI Symbol;Acc:MGI:1916320]",101401,protein_coding,ENSG00000163638,ADAMTS9,56999,8,29.1175,8,22.86875,8,22.79625,11,TRUE,TRUE,TRUE,5,34.988,5,22.84,5,22.236,5,19.314,5,31.582,5,18.528,5,18.7,5,14.218,brown,0.9404676,2.11E-19,5,23.342,5,3.194,2.903972,3.235326,2.572618,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.76,NA,FALSE,FALSE,2712,1876.33,928,Early expression,FALSE
ENSMUSG00000026828,Galnt5,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 [Source:MGI Symbol;Acc:MGI:2179403],241391,protein_coding,ENSG00000136542,GALNT5,11227,8,7.1875,8,6.4425,8,7.10375,1,TRUE,FALSE,FALSE,5,9.378,5,7.402,5,6.514,5,5.516,5,11.472,5,6.23,5,4.792,5,4.336,brown,0.939856,2.55E-19,5,7.86,0,0.484,4.076713,4.59752,3.555905,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,NA,FALSE,FALSE,1.33,0,8,Maturation,FALSE
ENSMUSG00000046186,Cd109,CD109 antigen [Source:MGI Symbol;Acc:MGI:2445221],235505,protein_coding,ENSG00000156535,CD109,135228,8,35.43375,8,32.2125,8,30.185,2,TRUE,FALSE,TRUE,5,58.232,5,39.794,5,38.078,5,36.022,5,53.766,5,28.92,5,24.364,5,23.144,brown,0.939674,2.70E-19,5,32.112,5,2.112,3.8893,4.32928,3.44932,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.981,GO:0072675,FALSE,TRUE,11753.67,4431.33,4296.33,Early expression,FALSE
ENSMUSG00000067276,Capn6,calpain 6 [Source:MGI Symbol;Acc:MGI:1100850],12338,protein_coding,ENSG00000077274,CAPN6,827,8,1.65,6,1.035,8,1.9025,5,TRUE,FALSE,TRUE,5,12.746,5,6.974,5,4.012,5,2.532,5,13.93,5,5.562,5,2.354,5,3.366,black,0.9393777,2.95E-19,5,2.428,0,0.182,3.48025,4.657381,2.303119,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.442,NA,FALSE,FALSE,4046.33,5060.67,4233.33,Maturation,FALSE
ENSMUSG00000027230,Creb3l1,cAMP responsive element binding protein 3-like 1 [Source:MGI Symbol;Acc:MGI:1347062],26427,protein_coding,ENSG00000157613,CREB3L1,90993,8,65.035,8,61.7825,8,58.97125,11,TRUE,TRUE,TRUE,5,91.258,5,58.766,5,50.998,5,42.81,5,99.052,5,54.858,5,43.63,5,30.452,brown,0.9391078,3.21E-19,5,58.226,5,5.276,3.458126,3.917693,2.998559,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.758,GO:0030500,TRUE,TRUE,189.67,131,314.33,Maturation,FALSE
ENSMUSG00000096956,Snhg18,small nucleolar RNA host gene 18 [Source:MGI Symbol;Acc:MGI:1914085],NA,lincRNA,NA,NA,NA,8,22.16,8,19.5,8,18.9675,12,TRUE,FALSE,TRUE,5,30.022,5,23.246,5,16.816,5,17.018,5,29.214,5,19.294,5,15.31,5,12.852,brown,0.9389272,3.39E-19,5,19.098,5,1.602,3.550852,3.969979,3.131725,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.415,NA,FALSE,FALSE,1379.67,2404.33,3601.67,Maturation,FALSE
ENSMUSG00000051339,2900026A02Rik,RIKEN cDNA 2900026A02 gene [Source:MGI Symbol;Acc:MGI:1920194],243219,protein_coding,ENSG00000197077,KIAA1671,85379,8,15.1875,8,12.16125,8,15.03875,12,TRUE,FALSE,TRUE,5,14.39,5,16.402,5,15.872,5,14.334,5,14.622,5,18.394,5,16.76,5,20.27,pink,0.938403,3.97E-19,5,17.218,5,3.842,2.184004,2.471296,1.896712,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.349,NA,FALSE,FALSE,342.33,757.67,576,Maturation,FALSE
